palabra,freq,diario,por_noticia
partido,302,todonoticias,0.29871
Argentina,113,eldestape,0.29737
Ciudad,113,eldestape,0.29737
mes,234,ambito,0.28996
amigo,20,diariodeleuco,0.28986
February,20,diariodeleuco,0.28986
diputado,20,diariodeleuco,0.28986
poder,20,diariodeleuco,0.28986
mes,110,eldestape,0.28947
dólar,110,eldestape,0.28947
punto,3662,infobae,0.28939
Salud,382,clarin,0.28444
dosis,214,paginadoce,0.2842
Buenos Aires,107,eldestape,0.28158
mujer,376,clarin,0.27997
renuncia,1293,lanacion,0.27723
precio,105,eldestape,0.27632
semana,105,eldestape,0.27632
hijo,371,clarin,0.27625
ministro,208,paginadoce,0.27623
Argentina,195,perfil,0.27542
red,19,diariodeleuco,0.27536
prisión,19,diariodeleuco,0.27536
coronavirus,19,diariodeleuco,0.27536
dólar,3479,infobae,0.27493
fuente,3456,infobae,0.27312
juego,2625,popular,0.27304
acuerdo,171,telam,0.27014
control,3403,infobae,0.26893
pandemia,359,clarin,0.26731
calidad,3346,infobae,0.26442
prohibición,3320,infobae,0.26237
vacunación,265,todonoticias,0.26212
dirigente,18,diariodeleuco,0.26087
empresario,18,diariodeleuco,0.26087
Kirchner,18,diariodeleuco,0.26087
partido,164,telam,0.25908
presidente,209,ambito,0.25898
sector,207,ambito,0.25651
México,162,telam,0.25592
marzo,2453,popular,0.25515
Salud,253,todonoticias,0.25025
club,2398,popular,0.24943
coronavirus,251,todonoticias,0.24827
semana,157,telam,0.24803
medio,17,diariodeleuco,0.24638
padre,17,diariodeleuco,0.24638
mdash,17,diariodeleuco,0.24638
vacunatorio,17,diariodeleuco,0.24638
provincia,155,telam,0.24487
anillo,3089,infobae,0.24411
automóvil,3080,infobae,0.2434
vip,246,todonoticias,0.24332
ministro,172,perfil,0.24294
transporte,3074,infobae,0.24293
Argentina,326,clarin,0.24274
foto,3064,infobae,0.24214
motocicleta,3050,infobae,0.24103
vacuna,1124,lanacion,0.24099
momento,323,clarin,0.24051
diámetro,3040,infobae,0.24024
personal,91,eldestape,0.23947
provincia,179,paginadoce,0.23772
marzo,178,paginadoce,0.23639
vacunación,167,perfil,0.23588
hijo,166,perfil,0.23446
Argentina,189,ambito,0.2342
mes,313,clarin,0.23306
partido,165,perfil,0.23305
programa,16,diariodeleuco,0.23188
historia,16,diariodeleuco,0.23188
semana,2221,popular,0.23102
semana,172,paginadoce,0.22842
juez,86,eldestape,0.22632
mujer,225,todonoticias,0.22255
final,2133,popular,0.22186
sector,84,eldestape,0.22105
peso,84,eldestape,0.22105
situación,84,eldestape,0.22105
mercado,178,ambito,0.22057
Alberto Fernández,83,eldestape,0.21842
pandemia,83,eldestape,0.21842
corrupción,15,diariodeleuco,0.21739
dólar,15,diariodeleuco,0.21739
derecho,15,diariodeleuco,0.21739
febrero,2744,infobae,0.21685
River,2080,popular,0.21635
Uso,2735,infobae,0.21614
provincia,174,ambito,0.21561
segundo,2068,popular,0.2151
momento,152,perfil,0.21469
vacunación,173,ambito,0.21437
casa,215,todonoticias,0.21266
Salud,134,telam,0.21169
dólar,159,paginadoce,0.21116
contagio,2654,infobae,0.20974
Ministerio,79,eldestape,0.20789
manera,78,eldestape,0.20526
mes,154,paginadoce,0.20452
mes,206,todonoticias,0.20376
